Day,Cash On Hand
1,3487400
2,3285780
3,2207600
4,2255973
5,792448
6,776179
7,320425
8,17433
9,328394
10,97093
11,235429
12,2507554
13,2249812
14,1155234
15,449424
16,3188597
17,2697991
18,5368244
19,4739366
20,2555607
21,5525385
22,8345765
23,5830081
24,6729755
25,8929416
26,8950018
27,8685869
28,7701496
29,6998427
30,6606467
31,8642684
32,7257655
33,8689025
34,8784577
35,8172726
36,8851518
37,8780020
38,9669208
39,9455489
40,6396075
41,10047845
42,9798148
43,8925698
44,8954613
45,9011767
46,11133143
47,6652113
48,7415601
49,5790094
50,5790184
51,7302037
52,7318270
53,8482444
54,8460414
55,8961674
56,9793081
57,10140583
58,10114449
59,9914560
60,9927645
61,10233564
62,10594707
63,10909429
64,10898041
65,10950459
66,11278952
67,11546336
68,11595006
69,12363036
70,12578625
71,11577323
72,10013518
73,11294461
74,11446816
75,12113022
76,12859268
77,11712329
78,11609272
79,11901800
80,11634684
81,10287893
82,10729953
83,9475792
84,9184138
85,8339051
86,6961746
87,7460426
88,9827227
89,9721933
90,9385950
