[HIGHEST OVERHEAD] Salary Expense: 28.17%
[CASH DEFICIT] DAY: 2, AMOUNT: USD201620
[CASH DEFICIT] DAY: 3, AMOUNT: USD1078180
[CASH DEFICIT] DAY: 5, AMOUNT: USD1463525
[CASH DEFICIT] DAY: 6, AMOUNT: USD16269
[CASH DEFICIT] DAY: 7, AMOUNT: USD455754
[CASH DEFICIT] DAY: 8, AMOUNT: USD302992
[CASH DEFICIT] DAY: 10, AMOUNT: USD231301
[CASH DEFICIT] DAY: 13, AMOUNT: USD257742
[CASH DEFICIT] DAY: 14, AMOUNT: USD1094578
[CASH DEFICIT] DAY: 15, AMOUNT: USD705810
[CASH DEFICIT] DAY: 17, AMOUNT: USD490606
[CASH DEFICIT] DAY: 19, AMOUNT: USD628878
[CASH DEFICIT] DAY: 20, AMOUNT: USD2183759
[CASH DEFICIT] DAY: 23, AMOUNT: USD2515684
[CASH DEFICIT] DAY: 27, AMOUNT: USD264149
[CASH DEFICIT] DAY: 28, AMOUNT: USD984373
[CASH DEFICIT] DAY: 29, AMOUNT: USD703069
[CASH DEFICIT] DAY: 30, AMOUNT: USD391960
[CASH DEFICIT] DAY: 32, AMOUNT: USD1385029
[CASH DEFICIT] DAY: 35, AMOUNT: USD611851
[CASH DEFICIT] DAY: 37, AMOUNT: USD71498
[CASH DEFICIT] DAY: 39, AMOUNT: USD213719
[CASH DEFICIT] DAY: 40, AMOUNT: USD3059414
[CASH DEFICIT] DAY: 42, AMOUNT: USD249697
[CASH DEFICIT] DAY: 43, AMOUNT: USD872450
[CASH DEFICIT] DAY: 47, AMOUNT: USD4481030
[CASH DEFICIT] DAY: 49, AMOUNT: USD1625507
[CASH DEFICIT] DAY: 54, AMOUNT: USD22030
[CASH DEFICIT] DAY: 58, AMOUNT: USD26134
[CASH DEFICIT] DAY: 59, AMOUNT: USD199889
[CASH DEFICIT] DAY: 64, AMOUNT: USD11388
[CASH DEFICIT] DAY: 71, AMOUNT: USD1001302
[CASH DEFICIT] DAY: 72, AMOUNT: USD1563805
[CASH DEFICIT] DAY: 77, AMOUNT: USD1146939
[CASH DEFICIT] DAY: 78, AMOUNT: USD103057
[CASH DEFICIT] DAY: 80, AMOUNT: USD267116
[CASH DEFICIT] DAY: 81, AMOUNT: USD1346791
[CASH DEFICIT] DAY: 83, AMOUNT: USD1254161
[CASH DEFICIT] DAY: 84, AMOUNT: USD291654
[CASH DEFICIT] DAY: 85, AMOUNT: USD845087
[CASH DEFICIT] DAY: 86, AMOUNT: USD1377305
[CASH DEFICIT] DAY: 89, AMOUNT: USD105294
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD201620
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD81199
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD4813
[PROFIT DEFICIT] DAY: 11, AMOUNT: USD71418
[PROFIT DEFICIT] DAY: 14, AMOUNT: USD151817
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD616013
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD741971
[PROFIT DEFICIT] DAY: 23, AMOUNT: USD185435
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD73783
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD15993
[PROFIT DEFICIT] DAY: 29, AMOUNT: USD1809
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD38054
[PROFIT DEFICIT] DAY: 40, AMOUNT: USD295720
[PROFIT DEFICIT] DAY: 42, AMOUNT: USD166018
[PROFIT DEFICIT] DAY: 43, AMOUNT: USD487863
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD30025
[PROFIT DEFICIT] DAY: 47, AMOUNT: USD71226
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD36982
[PROFIT DEFICIT] DAY: 49, AMOUNT: USD120302
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD23595
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD52490
[PROFIT DEFICIT] DAY: 58, AMOUNT: USD22983
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD1912
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD27764
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD39938
[PROFIT DEFICIT] DAY: 69, AMOUNT: USD41348
[PROFIT DEFICIT] DAY: 71, AMOUNT: USD310705
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD217328
[PROFIT DEFICIT] DAY: 73, AMOUNT: USD309146
[PROFIT DEFICIT] DAY: 74, AMOUNT: USD299526
[PROFIT DEFICIT] DAY: 75, AMOUNT: USD256170
[PROFIT DEFICIT] DAY: 76, AMOUNT: USD244376
[PROFIT DEFICIT] DAY: 77, AMOUNT: USD19352
[PROFIT DEFICIT] DAY: 81, AMOUNT: USD512643
[PROFIT DEFICIT] DAY: 82, AMOUNT: USD22367
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD475149
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD58570
[PROFIT DEFICIT] DAY: 85, AMOUNT: USD29220
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD41293
[PROFIT DEFICIT] DAY: 87, AMOUNT: USD117611
[PROFIT DEFICIT] DAY: 88, AMOUNT: USD66238
[PROFIT DEFICIT] DAY: 89, AMOUNT: USD125540
